ID,DISTRICT CODE,DISTRICT,ADDRESS,LATITUDE,LONGITUDE
20035AS,1.0,CENTRO,PLAZA ISABEL II 7,404184554.0,-37091287.0
20034AS,1.0,CENTRO,PLAZA EMPERADOR CARLOS V 9,404085893.0,-3692684.0
20037AS,1.0,CENTRO,PLAZA TIRSO DE MOLINA 14,404123307.0,-3704878.0
20018AS,1.0,CENTRO,CALLE SAN ANDRES 20,404270402.0,-37037315.0
20059AS,1.0,CENTRO,PARQUE MADRID RIO nan,404170173.0,-3721598.0
20032AS,1.0,CENTRO,PLAZA CARMEN 2,404190942.0,-37032319.0
20031AS,1.0,CENTRO,PLAZA CAMPILLO DEL MUNDO NUEVO 9,404068936.0,-3708283.0
20022AS,1.0,CENTRO,PASEO RECOLETOS 17,404216722.0,-36924174.0
20020AS,1.0,CENTRO,CALLE BARCELO 7,40426635.0,-37003933.0
20019AS,1.0,CENTRO,CALLE ARGUMOSA 1,404083466.0,-37003987.0
20093AS,1.0,CENTRO,PASEO PRADO 10,404146323.0,-36940378.0
20054AS,1.0,CENTRO,CALLE GENOVA 29,404253813.0,-36916011.0
20027AS,2.0,ARGANZUELA,GLORIETA EMBAJADORES 7,404046935.0,-37030565.0
20003AS,2.0,ARGANZUELA,CALLE MENDEZ ALVARO  5,404016292.0,-36867629.0
20002AS,2.0,ARGANZUELA,CALLE FERROCARRIL 1,4040072.0,-36943594.0
20006AS,2.0,ARGANZUELA,PASEO YESERIAS 44,403974147.0,-37068797.0
20009AS,2.0,ARGANZUELA,PASEO JUAN ANTONIO VALLEJO-NAJERA 15,404012178.0,-37049761.0
20007AS,2.0,ARGANZUELA,PASEO CHOPERA 33,403946613.0,-37001344.0
20008AS,2.0,ARGANZUELA,CALLE MAESTRO ARBOS 3,40390505.0,-36948927.0
20004AS,2.0,ARGANZUELA,GLORIETA SANTA MARIA DE LA CABEZA 13,404009397.0,-36999164.0
20001AS,2.0,ARGANZUELA,CALLE MENDEZ ALVARO  2,404070824.0,-36927886.0
20055AS,2.0,ARGANZUELA,CALLE VILLARROBLEDO 15,403928298.0,-36811993.0
20025AS,2.0,ARGANZUELA,CALLE TOLEDO 127,404060911.0,-37117334.0
20039AS,3.0,RETIRO,PASEO INFANTA ISABEL 9,404076676.0,-36893715.0
20094AS,3.0,RETIRO,PLAZA CONDE DE CASAL 7,404061607.0,-36700663.0
20092AS,3.0,RETIRO,PLAZA NINO JESUS 1,404113669.0,-3675845.0
20049AS,3.0,RETIRO,CALLE JUAN ESPLANDIU 2,404159188.0,-36628341.0
20029AS,3.0,RETIRO,CALLE DOCTOR ESQUERDO 66,404145033.0,-36699959.0
20097AS,4.0,SALAMANCA,CALLE SERRANO 32,404252537.0,-36881695.0
20095AS,4.0,SALAMANCA,AVENIDA FELIPE II 12,404238654.0,-36759187.0
20099AS,4.0,SALAMANCA,PLAZA MANUEL BECERRA 7,404286194.0,-36689932.0
20026AS,4.0,SALAMANCA,CALLE NUNEZ DE BALBOA 70,404304627.0,-3682382.0
20098AS,4.0,SALAMANCA,AVENIDA TOREROS 79,404326009.0,-36614575.0
20047AS,5.0,CHAMARTIN,PLAZA CASTILLA 9,404655237.0,-36887855.0
20048AS,5.0,CHAMARTIN,CALLE PRINCIPE DE VERGARA 275,404580987.0,-36769943.0
20043AS,5.0,CHAMARTIN,CALLE SAN ERNESTO 2,404493387.0,-3676971.0
20044AS,5.0,CHAMARTIN,PLAZA PROSPERIDAD 1,404439733.0,-36749101.0
20111AS,6.0,TETUAN,PARQUE RODRIGUEZ SAHAGUN S/N,40468885.0,-37109256.0
20106AS,6.0,TETUAN,PASEO DIRECCION 374,404719278.0,-37008622.0
20110AS,6.0,TETUAN,CALLE BASILICA 15,404492969.0,-36955925.0
20051AS,7.0,CHAMBERI,CALLE ANDRES MELLADO 34,404334665.0,-37145327.0
20108AS,7.0,CHAMBERI,AVENIDA REINA VICTORIA 7,404468393.0,-37049527.0
20030AS,7.0,CHAMBERI,PLAZA JUAN ZORRILLA 4,404422822.0,-37043811.0
20112AS,7.0,CHAMBERI,PLAZA SAN JUAN DE LA CRUZ 9,404413147.0,-36948701.0
20052AS,7.0,CHAMBERI,GLORIETA QUEVEDO 1,404331867.0,-37042522.0
20096AS,7.0,CHAMBERI,GLORIETA RUIZ JIMENEZ 5,404297261.0,-37053533.0
20064AS,8.0,FUENCARRAL-EL PARDO,CALLE COSTA BRAVA 13,404949458.0,-37010354.0
20036AS,8.0,FUENCARRAL-EL PARDO,PASEO VAGUADA 13,404800577.0,-37121944.0
20107AS,8.0,FUENCARRAL-EL PARDO,AVENIDA MONASTERIO DEL ESCORIAL 3,405047279.0,-37099814.0
20065AS,8.0,FUENCARRAL-EL PARDO,AVENIDA LA GUARDIA 4,405190605.0,-37756836.0
20068AS,8.0,FUENCARRAL-EL PARDO,CALLE GINZO DE LIMIA 47,404834478.0,-37063874.0
20033AS,8.0,FUENCARRAL-EL PARDO,CALLE PEDRO RICO 1,404802895.0,-3689578.0
20081AS,9.0,MONCLOA-ARAVACA,PASEO PINTOR ROSALES 14,404254088.0,-37185074.0
20113AS,9.0,MONCLOA-ARAVACA,CALLE SANCHEZ PRECIADO 75,40463713.0,-37093494.0
20078AS,9.0,MONCLOA-ARAVACA,PASEO JUAN XXIII 13,404482191.0,-37170143.0
20090AS,9.0,MONCLOA-ARAVACA,CALLE ISLA DE OZA 82,404636248.0,-37209545.0
20080AS,9.0,MONCLOA-ARAVACA,PASEO MORET 1,404349187.0,-37199179.0
20040AS,9.0,MONCLOA-ARAVACA,PASEO FLORIDA 1,404207586.0,-37207892.0
20076AS,10.0,LATINA,CALLE VILLAMANIN 31,404073897.0,-37523537.0
20073AS,10.0,LATINA,CALLE HIGUERAS 49,404046821.0,-37454067.0
20063AS,10.0,LATINA,CALLE CUART DE POBLET 1,403991105.0,-37448944.0
20053AS,10.0,LATINA,PASEO ERMITA DEL SANTO 2,404135719.0,-3724084.0
20067AS,10.0,LATINA,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 174,404005847.0,-37553615.0
20074AS,10.0,LATINA,CALLE BLAS CABRERA 141,403781145.0,-37653924.0
20071AS,10.0,LATINA,AVENIDA LAS AGUILAS 76,403813979.0,-37802599.0
20045AS,10.0,LATINA,CALLE VALMOJADO 99,403940087.0,-37582951.0
20070AS,10.0,LATINA,CALLE OCANA 2,403858994.0,-37603104.0
20014AS,11.0,CARABANCHEL,AVENIDA PESETA 47,403628671.0,-37576782.0
20013AS,11.0,CARABANCHEL,PARQUE MADRID RIO nan,403975885.0,-37128996.0
20109AS,11.0,CARABANCHEL,AVENIDA EURO 2,403734654.0,-37387518.0
20102AS,11.0,CARABANCHEL,AVENIDA OPORTO 4,403849715.0,-37189324.0
20010AS,11.0,CARABANCHEL,AVENIDA MANZANARES 108,403993924.0,-37189428.0
20023AS,11.0,CARABANCHEL,CALLE CARLOS DABAN 30,403974061.0,-37312348.0
20016AS,11.0,CARABANCHEL,GLORIETA MARQUES DE VADILLO 2,403973323.0,-37155009.0
20005AS,11.0,CARABANCHEL,TRAVESIA IVAN DE VARGAS 1,40402908.0,-37233829.0
20114AS,12.0,USERA,AVENIDA RAFAELA YBARRA S/N,403778878.0,-37119695.0
20017AS,12.0,USERA,CALLE CAMINO DE PERALES 48,403787329.0,-36903775.0
20021AS,12.0,USERA,CALLE TOMELLOSO 63,403794629.0,-37001488.0
20125AS,12.0,USERA,AVENIDA MANZANARES 218,40389593.0,-3699272.0
20085AS,13.0,PUENTE DE VALLECAS,AVENIDA ALBUFERA 1,403983008.0,-3669491.0
20087AS,13.0,PUENTE DE VALLECAS,AVENIDA DEMOCRACIA 1,403822601.0,-36249841.0
20088AS,13.0,PUENTE DE VALLECAS,CALLE MANCHA 1,403811817.0,-36691873.0
20086AS,13.0,PUENTE DE VALLECAS,CALLE SANTILLANA DEL MAR 9,403905035.0,-36461615.0
20089AS,13.0,PUENTE DE VALLECAS,CALLE PIO FELIPE 42,403918077.0,-36543842.0
20056AS,13.0,PUENTE DE VALLECAS,CALLE ARAGONESES 8,403810206.0,-36434788.0
20127AS,13.0,PUENTE DE VALLECAS,AVENIDA MIGUEL HERNANDEZ 48,40388695.0,-36347667.0
20050AS,14.0,MORATALAZ,AVENIDA DOCTOR GARCIA TAPIA 127,404099009.0,-36406412.0
20084AS,14.0,MORATALAZ,CALLE HACIENDA DE PAVONES 231,404004954.0,-36343126.0
20077AS,14.0,MORATALAZ,CALLE LAGUNA NEGRA 7,404044605.0,-36305177.0
20083AS,14.0,MORATALAZ,AVENIDA MORATALAZ 70,404060547.0,-36501139.0
20015AS,14.0,MORATALAZ,CALLE JOSE BERGAMIN 7,404113266.0,-3633195.0
20042AS,15.0,CIUDAD LINEAL,CALLE MISTERIOS 1,404380587.0,-36389139.0
20062AS,15.0,CIUDAD LINEAL,CALLE JUAN PEREZ ZUNIGA 2,404410565.0,-36494816.0
20061AS,15.0,CIUDAD LINEAL,CALLE VIRGEN DE LA ROCA 20,404354153.0,-36576172.0
20124AS,15.0,CIUDAD LINEAL,CALLE VIRGEN DEL SAGRARIO 20,404356482.0,-36488699.0
20058AS,16.0,HORTALEZA,AVENIDA MACHUPICHU 9,404562537.0,-36239308.0
20069AS,16.0,HORTALEZA,CALLE SANTA ADELA 14,404787054.0,-36496442.0
20075AS,16.0,HORTALEZA,CALLE BACARES 24,404768259.0,-36626997.0
20126AS,17.0,VILLAVERDE,CALLE SANTA PETRONILA 15,403500832.0,-36925798.0
20130AS,17.0,VILLAVERDE,PLAZA AGATA 1,403464892.0,-37091292.0
20123AS,17.0,VILLAVERDE,CALLE ENCARNACION DEL PINO 29,4034648.0,-37155622.0
20122AS,17.0,VILLAVERDE,PASEO GIGANTES Y CABEZUDOS 4,403606946.0,-36938713.0
20115AS,18.0,VILLA DE VALLECAS,AVENIDA SANTA EUGENIA 79,403866037.0,-36082083.0
20116AS,18.0,VILLA DE VALLECAS,CALLE SIERRA DE TORTEJADA 1,403716035.0,-36182429.0
20117AS,18.0,VILLA DE VALLECAS,CALLE SIERRA DEL TORCAL 20,403806536.0,-36174007.0
20072AS,18.0,VILLA DE VALLECAS,CALLE CANADA DEL SANTISIMO 45,403631912.0,-35992764.0
20121AS,19.0,VICALVARO,CALLE VILLARDONDIEGO 41,404044056.0,-36081411.0
20057AS,19.0,VICALVARO,AVENIDA COMUNIDADES 5,403958878.0,-36147439.0
20119AS,19.0,VICALVARO,BULEVAR JOSE PRAT 19,403981196.0,-36223531.0
20120AS,19.0,VICALVARO,AVENIDA GRAN VIA DEL ESTE 14,404017174.0,-35967811.0
20079AS,19.0,VICALVARO,CALLE PEDERNAL 1,404054426.0,-35983769.0
20105AS,20.0,SAN BLAS-CANILLEJAS,PLAZA ALSACIA 1,404175497.0,-36230469.0
20101AS,20.0,SAN BLAS-CANILLEJAS,CALLE ALCALA 632,404488915.0,-36092966.0
20104AS,20.0,SAN BLAS-CANILLEJAS,AVENIDA NIZA 37,40429708.0,-3607124.0
20103AS,20.0,SAN BLAS-CANILLEJAS,AVENIDA INSTITUCION LIBRE DE ENSENANZA 111,404230203.0,-36269457.0
20100AS,20.0,SAN BLAS-CANILLEJAS,CALLE SUECIA 33,404242735.0,-36040739.0
20060AS,20.0,SAN BLAS-CANILLEJAS,AVENIDA ARCENTALES 4,404307196.0,-36220603.0
20118AS,20.0,SAN BLAS-CANILLEJAS,CALLE ALCALA 548,404435404.0,-3617583.0
20066AS,20.0,SAN BLAS-CANILLEJAS,AVENIDA ARCENTALES 39,404333204.0,-36009885.0
20028AS,20.0,SAN BLAS-CANILLEJAS,CALLE ALCALA 502,404406352.0,-36282427.0
20011AS,21.0,BARAJAS,PARQUE DE LAS NACIONES S/N,404634982.0,-36003994.0
20012AS,21.0,BARAJAS,PARQUE DE LAS NACIONES S/N,404622527.0,-36068332.0
20129AS,21.0,BARAJAS,PARQUE DE LAS NACIONES S/N,404564581.0,-36085971.0
20128AS,21.0,BARAJAS,CALLE PLAYA DE RIAZOR 45,40475635.0,-35837345.0
20024AS,21.0,BARAJAS,PASEO ALAMEDA DE OSUNA 48,404544636.0,-35996074.0
20038AS,4.0,SALAMANCA,AVENIDA BRASILIA S/N,404387360.0,-36608570.0
20046AS,5.0,CHAMARTIN,PASEO CASTELANA nan,404526769.0,-36901737.0
20082AS,9.0,MONCLOA-ARAVACA,CALLE GOLONDRINA 1E,40448975.0,-3784945.0
20091AS,15.0,CIUDAD LINEAL,CALLE  ASCAO 31,40430306.0,-3640108.0
