Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades 2021
Centro;01;Ligustrum japonicum;2528
Centro;01;Styphnolobium japonicum;1573
Centro;01;Platanus x hispanica;1419
Centro;01;Aesculus hippocastanum;508
Centro;01;Pyrus calleryana 'Chanticleer';371
Centro;01;Ulmus pumila;355
Centro;01;Prunus cerasifera  subsp. pissardii;349
Centro;01;Robinia pseudoacacia;289
Centro;01;Cercis siliquastrum;298
Centro;01;Otros;3899
;;Total;11589
Arganzuela;02;Platanus x hispanica;3448
Arganzuela;02;Styphnolobium japonicum;2370
Arganzuela;02;Celtis australis;1590
Arganzuela;02;Pinus pinea;1282
Arganzuela;02;Ligustrum japonicum;1265
Arganzuela;02;Ulmus pumila;1262
Arganzuela;02;Robinia pseudoacacia;1244
Arganzuela;02;Acer negundo;1186
Arganzuela;02;Melia azedarach;1083
Arganzuela;02;Prunus cerasifera  subsp. pissardii;694
Arganzuela;02;Gleditsia triacanthos;666
Arganzuela;02;Otros;7605
;;Total;23695
Retiro;03;Platanus x hispanica;2577
Retiro;03;Styphnolobium japonicum;2354
Retiro;03;Ulmus pumila;1913
Retiro;03;Ligustrum japonicum;915
Retiro;03;Pinus pinea;789
Retiro;03;Robinia pseudoacacia;571
Retiro;03;Celtis australis;477
Retiro;03;Cupressus sempervirens;416
Retiro;03;Cupressus x leylandii;413
Retiro;03;Liquidambar styraciflua;360
Retiro;03;Cupressus arizonica;336
Retiro;03;Prunus cerasifera  subsp. pissardii;298
Retiro;03;Aesculus hippocastanum;297
Retiro;03;Otros;2871
;;Total;14587
Salamanca;04;Styphnolobium japonicum;5824
Salamanca;04;Platanus x hispanica;2403
Salamanca;04;Ligustrum japonicum;1817
Salamanca;04;Ulmus pumila;864
Salamanca;04;Pinus pinea;760
Salamanca;04;Aesculus hippocastanum;664
Salamanca;04;Robinia pseudoacacia;555
Salamanca;04;Prunus cerasifera  subsp. pissardii;516
Salamanca;04;Acer negundo;390
Salamanca;04;Populus alba 'Bolleana';348
Salamanca;04;Otros;5732
;;Total;19873
CHAMARTÍN;05;Platanus x hispanica;6043
CHAMARTÍN;05;Styphnolobium japonicum;3720
CHAMARTÍN;05;Ulmus pumila;2569
CHAMARTÍN;05;Pinus pinea;1292
CHAMARTÍN;05;Celtis australis;1170
CHAMARTÍN;05;Robinia pseudoacacia;1133
CHAMARTÍN;05;Prunus cerasifera  subsp. pissardii;932
CHAMARTÍN;05;Ligustrum japonicum;921
CHAMARTÍN;05;Melia azedarach;726
CHAMARTÍN;05;Aesculus hippocastanum;643
CHAMARTÍN;05;Populus alba 'Bolleana';571
CHAMARTÍN;05;Otros;6065
;;Total;25785
TETUÁN;06;Platanus x hispanica;4599
TETUÁN;06;Ligustrum japonicum;873
TETUÁN;06;Ulmus pumila;802
TETUÁN;06;Prunus cerasifera  subsp. pissardii;691
TETUÁN;06;Styphnolobium japonicum;526
TETUÁN;06;Melia azedarach;514
TETUÁN;06;Pinus pinea;508
TETUÁN;06;Celtis australis;480
TETUÁN;06;Aesculus hippocastanum;455
TETUÁN;06;Cupressus sempervirens;424
TETUÁN;06;Otros;4945
;;Total;14817
CHAMBERÍ;07;Styphnolobium japonicum;5780
CHAMBERÍ;07;Platanus x hispanica;1724
CHAMBERÍ;07;Ulmus pumila;839
CHAMBERÍ;07;Celtis australis;757
CHAMBERÍ;07;Ligustrum japonicum;622
CHAMBERÍ;07;Melia azedarach;433
CHAMBERÍ;07;Robinia pseudoacacia;317
CHAMBERÍ;07;Koelreuteria paniculata;274
CHAMBERÍ;07;Aesculus hippocastanum;265
CHAMBERÍ;07;Prunus cerasifera  subsp. pissardii;247
CHAMBERÍ;07;Cercis siliquastrum;189
CHAMBERÍ;07;Pinus pinea;151
CHAMBERÍ;07;Otros;1786
;;Total;13384
FUENCARRAL - EL PARDO;08;Platanus x hispanica;9444
FUENCARRAL - EL PARDO;08;Ulmus pumila;5029
FUENCARRAL - EL PARDO;08;Celtis australis;3882
FUENCARRAL - EL PARDO;08;Pinus pinea;3107
FUENCARRAL - EL PARDO;08;Robinia pseudoacacia;2434
FUENCARRAL - EL PARDO;08;Melia azedarach;2132
FUENCARRAL - EL PARDO;08;Prunus cerasifera  subsp. pissardii;1990
FUENCARRAL - EL PARDO;08;Acer negundo;1670
FUENCARRAL - EL PARDO;08;Styphnolobium japonicum;1532
FUENCARRAL - EL PARDO;08;Morus alba;1393
FUENCARRAL - EL PARDO;08;Populus x canadensis;1371
FUENCARRAL - EL PARDO;08;Aesculus hippocastanum;1262
FUENCARRAL - EL PARDO;08;Cupressus sempervirens;1154
FUENCARRAL - EL PARDO;08;Ligustrum japonicum;1002
FUENCARRAL - EL PARDO;08;Otros;19879
;;Total;57281
MONCLOA-ARAVACA;09;Platanus x hispanica;5589
MONCLOA-ARAVACA;09;Styphnolobium japonicum;2737
MONCLOA-ARAVACA;09;Ulmus pumila;2303
MONCLOA-ARAVACA;09;Pinus pinea;1903
MONCLOA-ARAVACA;09;Acer negundo;1827
MONCLOA-ARAVACA;09;Cupressus sempervirens;1354
MONCLOA-ARAVACA;09;Robinia pseudoacacia;1267
MONCLOA-ARAVACA;09;Catalpa bignonioides;974
MONCLOA-ARAVACA;09;Ligustrum japonicum;900
MONCLOA-ARAVACA;09;Celtis australis;880
MONCLOA-ARAVACA;09;Cupressus arizonica;796
MONCLOA-ARAVACA;09;Prunus cerasifera  subsp. pissardii;725
MONCLOA-ARAVACA;09;Otros;12127
;;Total;33382
LATINA;10;Platanus x hispanica;5287
LATINA;10;Ulmus pumila;4184
LATINA;10;Pinus pinea;2312
LATINA;10;Robinia pseudoacacia;1955
LATINA;10;Celtis australis;1764
LATINA;10;Prunus cerasifera  subsp. pissardii;1753
LATINA;10;Styphnolobium japonicum;1540
LATINA;10;Ligustrum japonicum;1124
LATINA;10;Acer negundo;1066
LATINA;10;Cupressus sempervirens;968
LATINA;10;Aesculus hippocastanum;947
LATINA;10;Otros;13850
;;Total;36750
CARABANCHEL;11;Platanus x hispanica;7489
CARABANCHEL;11;Pinus pinea;4091
CARABANCHEL;11;Ulmus pumila;2779
CARABANCHEL;11;Styphnolobium japonicum;2694
CARABANCHEL;11;Robinia pseudoacacia;2278
CARABANCHEL;11;Celtis australis;1990
CARABANCHEL;11;Acer negundo;1566
CARABANCHEL;11;Gleditsia triacanthos;1389
CARABANCHEL;11;Aesculus hippocastanum;984
CARABANCHEL;11;Ligustrum japonicum;938
CARABANCHEL;11;Cupressus sempervirens;933
CARABANCHEL;11;Melia azedarach;767
CARABANCHEL;11;Otros;12912
;;Total;40810
USERA;12;Platanus x hispanica;5011
USERA;12;Ulmus pumila;3753
USERA;12;Robinia pseudoacacia;2070
USERA;12;Pinus pinea;2054
USERA;12;Celtis australis;1455
USERA;12;Styphnolobium japonicum;1298
USERA;12;Acer negundo;1181
USERA;12;Cedrus deodara;769
USERA;12;Melia azedarach;730
USERA;12;Prunus cerasifera;616
USERA;12;Ligustrum japonicum;615
USERA;12;Platanus orientalis;596
USERA;12;Otros;10907
;;Total;31055
PUENTE DE VALLECAS;13;Platanus x hispanica;4508
PUENTE DE VALLECAS;13;Platanus orientalis;4376
PUENTE DE VALLECAS;13;Robinia pseudoacacia;3562
PUENTE DE VALLECAS;13;Styphnolobium japonicum;3318
PUENTE DE VALLECAS;13;Ulmus pumila;3129
PUENTE DE VALLECAS;13;Pinus pinea;2525
PUENTE DE VALLECAS;13;Acer negundo;2330
PUENTE DE VALLECAS;13;Ligustrum japonicum;2101
PUENTE DE VALLECAS;13;Celtis australis;1252
PUENTE DE VALLECAS;13;Catalpa bignonioides;1164
PUENTE DE VALLECAS;13;Prunus cerasifera  subsp. pissardii;1141
PUENTE DE VALLECAS;13;Acer pseudoplatanus;1087
PUENTE DE VALLECAS;13;Otros;14554
;;Total;45047
MORATALAZ;14;Ulmus pumila;5827
MORATALAZ;14;Pinus pinea;2138
MORATALAZ;14;Platanus x hispanica;1993
MORATALAZ;14;Celtis australis;1586
MORATALAZ;14;Acer negundo;1258
MORATALAZ;14;Platanus orientalis;1076
MORATALAZ;14;Prunus cerasifera  subsp. pissardii;770
MORATALAZ;14;Acer pseudoplatanus;620
MORATALAZ;14;Catalpa bignonioides;587
MORATALAZ;14;Melia azedarach;576
MORATALAZ;14;Otros;8342
;;Total;24773
CIUDAD LINEAL;15;Platanus x hispanica;4697
CIUDAD LINEAL;15;Ulmus pumila;4392
CIUDAD LINEAL;15;Pinus pinea;4200
CIUDAD LINEAL;15;Styphnolobium japonicum;1692
CIUDAD LINEAL;15;Prunus cerasifera  subsp. pissardii;1486
CIUDAD LINEAL;15;Robinia pseudoacacia;1426
CIUDAD LINEAL;15;Celtis australis;1370
CIUDAD LINEAL;15;Acer negundo;1354
CIUDAD LINEAL;15;Cupressus sempervirens;1018
CIUDAD LINEAL;15;Pinus halepensis;962
CIUDAD LINEAL;15;Ulmus minor;893
CIUDAD LINEAL;15;Otros;15867
;;Total;39357
HORTALEZA;16;Platanus x hispanica;4516
HORTALEZA;16;Pinus pinea;4458
HORTALEZA;16;Celtis australis;3174
HORTALEZA;16;Styphnolobium japonicum;2425
HORTALEZA;16;Acer negundo;2078
HORTALEZA;16;Cupressus sempervirens;2074
HORTALEZA;16;Robinia pseudoacacia;1853
HORTALEZA;16;Prunus cerasifera  subsp. pissardii;1615
HORTALEZA;16;Ulmus pumila;1484
HORTALEZA;16;Ligustrum japonicum;1387
HORTALEZA;16;Populus alba;1222
HORTALEZA;16;Ulmus minor;1210
HORTALEZA;16;Aesculus hippocastanum;1183
HORTALEZA;16;Melia azedarach;1142
HORTALEZA;16;Otros;22435
;;Total;52256
VILLAVERDE;17;Ulmus pumila;5325
VILLAVERDE;17;Celtis australis;3320
VILLAVERDE;17;Platanus x hispanica;3026
VILLAVERDE;17;Ligustrum japonicum;2157
VILLAVERDE;17;Pinus pinea;1834
VILLAVERDE;17;Melia azedarach;1815
VILLAVERDE;17;Prunus cerasifera  subsp. pissardii;1687
VILLAVERDE;17;Robinia pseudoacacia;1682
VILLAVERDE;17;Aesculus hippocastanum;1585
VILLAVERDE;17;Pinus halepensis;1550
VILLAVERDE;17;Acer negundo;1214
VILLAVERDE;17;Catalpa bignonioides;1060
VILLAVERDE;17;Otros;12259
;;Total;38514
VILLA DE VALLECAS;18;Platanus x hispanica;5124
VILLA DE VALLECAS;18;Pinus halepensis;2724
VILLA DE VALLECAS;18;Celtis australis;2639
VILLA DE VALLECAS;18;Acer negundo;2259
VILLA DE VALLECAS;18;Ulmus pumila;1896
VILLA DE VALLECAS;18;Robinia pseudoacacia;1852
VILLA DE VALLECAS;18;Cupressus sempervirens;1200
VILLA DE VALLECAS;18;Aesculus hippocastanum;1062
VILLA DE VALLECAS;18;Prunus cerasifera  subsp. pissardii;1022
VILLA DE VALLECAS;18;Melia azedarach;995
VILLA DE VALLECAS;18;Otros;14934
;;Total;35707
VICÁLVARO;19;Celtis australis;2275
VICÁLVARO;19;Ligustrum japonicum;1999
VICÁLVARO;19;Platanus x hispanica;1917
VICÁLVARO;19;Pyrus calleryana;1882
VICÁLVARO;19;Platanus orientalis;1751
VICÁLVARO;19;Pinus pinea;1640
VICÁLVARO;19;Styphnolobium japonicum;1465
VICÁLVARO;19;Robinia pseudoacacia;1460
VICÁLVARO;19;Ulmus pumila;1239
VICÁLVARO;19;Aesculus hippocastanum;1212
VICÁLVARO;19;Otros;14595
;;Total;31435
SAN BLAS - CANILLEJAS;20;Platanus x hispanica;7612
SAN BLAS - CANILLEJAS;20;Pinus pinea;2963
SAN BLAS - CANILLEJAS;20;Celtis australis;2335
SAN BLAS - CANILLEJAS;20;Acer negundo;1941
SAN BLAS - CANILLEJAS;20;Robinia pseudoacacia;1897
SAN BLAS - CANILLEJAS;20;Pinus halepensis;1681
SAN BLAS - CANILLEJAS;20;Aesculus hippocastanum;1514
SAN BLAS - CANILLEJAS;20;Ulmus pumila;1147
SAN BLAS - CANILLEJAS;20;Ulmus sp;1124
SAN BLAS - CANILLEJAS;20;Ligustrum japonicum;1117
SAN BLAS - CANILLEJAS;20;Styphnolobium japonicum;971
SAN BLAS - CANILLEJAS;20;Otros;14793
;;Total;39095
BARAJAS;21;Platanus x hispanica;3035
BARAJAS;21;Styphnolobium japonicum;930
BARAJAS;21;Celtis australis;885
BARAJAS;21;Robinia pseudoacacia;744
BARAJAS;21;Ligustrum japonicum;713
BARAJAS;21;Catalpa bignonioides;707
BARAJAS;21;Melia azedarach;548
BARAJAS;21;Pinus pinea;540
BARAJAS;21;Prunus cerasifera  subsp. pissardii;533
BARAJAS;21;Pinus halepensis;462
BARAJAS;21;Acer negundo;395
BARAJAS;21;Gleditsia triacanthos;357
BARAJAS;21;Otros;6761
;;Total;16610
;;;
;;TOTAL:;645.802
;;;
NOTA:;;;
En este informe no se han considerado los elementos clasificados como PALMACEAS.  ;;;
En Madrid existen 2.795 PALMACEAS en conservación por la S.G. de Conservación de Zonas Verdes y Arbolado urbano;;;
